"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BH,3,c,"10",0,0.00,18.000,90.00,556,p,,1301
BH,3,c,"10",0,0.00,0.640,3.20,279,p,,1302
BH,3,c,"12",0,0.00,0.585,2.93,220,p,,1302
BH,3,c,"120",0,0.00,43.100,216.00,4190,p,,1301
BH,3,c,"14",0,0.00,0.515,2.58,165,p,,1302
BH,3,c,"150",0,0.00,46.700,234.00,5100,p,,1301
BH,3,c,"16",0,0.00,20.300,101.00,763,p,,1301
BH,3,c,"16",0,0.00,0.480,2.40,138,p,,1302
BH,3,c,"185",0,0.00,51.900,260.00,5928,p,,1301
BH,3,c,"2",0,0.00,1.145,5.73,1077,p,,1302
BH,3,c,"2.5",0,0.00,13.200,66.00,247,p,,1301
BH,3,c,"2/0",0,0.00,1.460,7.30,1899,p,,1302
BH,3,c,"240",0,0.00,57.100,286.00,7841,p,,1301
BH,3,c,"25",0,0.00,24.000,120.00,1105,p,,1301
BH,3,c,"262",0,0.00,1.990,9.95,3559,p,,1302
BH,3,c,"3/0",0,0.00,1.565,7.83,2291,p,,1302
BH,3,c,"313",0,0.00,2.065,10.33,4126,p,,1302
BH,3,c,"35",0,0.00,26.600,133.00,1438,p,,1301
BH,3,c,"373",0,0.00,2.185,10.93,4771,p,,1302
BH,3,c,"4",0,0.00,14.500,72.00,314,p,,1301
BH,3,c,"4",0,0.00,1.015,5.08,776,p,,1302
BH,3,c,"4/0",0,0.00,1.795,8.98,2881,p,,1302
BH,3,c,"50",0,0.00,30.200,151.00,1938,p,,1301
BH,3,c,"6",0,0.00,15.700,79.00,392,p,,1301
BH,3,c,"6",0,0.00,0.910,4.55,577,p,,1302
BH,3,c,"70",0,0.00,35.000,175.00,2716,p,,1301
BH,3,c,"8",0,0.00,0.710,3.55,367,p,,1302
BH,3,c,"95",0,0.00,39.100,195.00,3354,p,,1301
BH,4,c,"1",0,0.00,1.385,6.93,1651,p,,1302
BH,4,c,"1.5",0,0.00,13.000,65.00,227,p,,1301
BH,4,c,"1/0",0,0.00,1.480,7.40,1982,p,,1302
BH,4,c,"10",0,0.00,19.800,99.00,678,p,,1301
BH,4,c,"10",0,0.00,0.690,3.45,334,p,,1302
BH,4,c,"12",0,0.00,0.630,3.15,259,p,,1302
BH,4,c,"120",0,0.00,47.900,240.00,5325,p,,1301
BH,4,c,"14",0,0.00,0.590,2.95,212,p,,1302
BH,4,c,"150",0,0.00,51.900,260.00,6495,p,,1301
BH,4,c,"16",0,0.00,22.100,111.00,931,p,,1301
BH,4,c,"16",0,0.00,0.515,2.58,160,p,,1302
BH,4,c,"185",0,0.00,57.700,289.00,7533,p,,1301
BH,4,c,"2",0,0.00,1.250,6.25,1342,p,,1302
BH,4,c,"2.5",0,0.00,14.400,72.00,293,p,,1301
BH,4,c,"2/0",0,0.00,1.600,8.00,2397,p,,1302
BH,4,c,"25",0,0.00,26.400,132.00,1371,p,,1301
BH,4,c,"262",0,0.00,2.185,10.93,4511,p,,1302
BH,4,c,"3/0",0,0.00,1.790,8.95,3014,p,,1302
BH,4,c,"35",0,0.00,29.400,147.00,1797,p,,1301
BH,4,c,"4",0,0.00,15.600,78.00,368,p,,1301
