"desc_code","desc_name"
B1,Flexible VSD 1.8/3kV IEC60092-354 IEC60332-3-22 NEK606 LSZH
B3,Flexible VSD 3.6/6kV IEC60092-354 IEC60332-3-22 NEK606 LSZH
B4,Flexible VSD 6.35/11kV IEC60092-354IEC60332-3-22 NEK606 LSZH
EY,(UL) STOOW 600V -40C TO 105C FT1 PVC WATER RESISTANT
A01,"Bootlace/Ferrule, Insulated Single"
A02,"Bootlace/Ferrule, Uninsulated Single"
A03,"Bootlace/Ferrule, Insulated Twin"
A04,"Bootlace/Ferrule, Uninsulated Twin"
A05,"Ring Terminal, Insulated"
A06,"Ring Terminal, Uninsulated"
A07,"Fork Terminal, Insulated"
A08,"Fork Terminal, Uninsulated"
A09,"Pin Terminal, Insulated"
A10,"Pin Terminal, Uninsulated"
A11,"Blade Terminal, Insulated"
A12,"Blade Terminal, Uninsulated"
A37,"In Line Splice Connector, Nylon Fully Insulated"
A46,"Double Grip Fully Insulated Female Spade, Nylon"
A30,"Quick Disconnect, Male Spade Vinyl Insulated"
A31,"Quick Disconnect, Female Spade Connector Vinyl Insulated"
LP,V90-HT Single-Insulated 105C 0.6/1kV AS/NZS5000.1
T01,"StandOff/BusBar, Insulator"
B01,Heavy Wall Cable Lug
TD853,"0.6/1kV 90C LSZH"
NB,Flexible Rubber X-HF-110 Neutral Screen 0.6/1kV AS/NZS4961
NC,Flexible Rubber X-HF-110 Neutral Screen 0.6/1kV AS/NZS4961
NF,BFOU-VFD 90C NEK606 IEC60332-3-22 60331-21 LSZH Fire 0.6/1kV
DC,Flexible Rubber X-HF-110 LSZH 125C 0.9/1.5kV dc AS/NZS5000.1
A47,"Double Grip Fully Insulated Male Spade, Nylon"
A48,"Fork Terminal, Heat Shrink Pre-Insulated"
A32,"Quick Disconnect,Female Spade, Nylon Fully Insulated"
A33,"Quick Disconnect, Male Spade Nylon Fully Insulated"
A34,"Quick Disconnect,Uninsulated Female Connector"
A35,"Quick Disconnect, Female Bullet Nylon Fully Insulated"
A36,"Quick Disconnect, Male Bullet Nylon Fully Insulated"
D01,"Cable Gland, Brass Nickel Plated"
D02,"Cable Gland, Stainless Steel"
D03,"Cable Gland, Nylon Long Thread"
D04,"Cable Gland, Straight Spiral Top Long Thread"
D05,"Cable Gland, 90° Watertight"
D06,"Cable Gland, Brass Nickel Plated Long Thread"
D07,"Cable Gland, Premium Nylon"
D08,"Cable Gland, Nylon"
D09,Polyamide IP69 Cable Glands
D10,Polyamide Blind Plug
F01,"Conduit Gland, Straight Connector Waterproof"
F02,"Conduit Gland, Straight Connector"
F03,"Conduit Gland, Straight Quick Connector"
F04,"Conduit Gland, 90° Quick Connector"
M01,"Conduit Clamp, Fast Install"
BW,Flexible Rubber Welding 105C 600V
G01,Heat Shrink 125° Single Wall 2:1
G02,Heat Shrink 150° Single Wall 2:1
TD836,X-HF-110/SHF2 450/750V AS/NZS5000.3 OS
TD837,X-HF-110/SHF2 450/750V AS/NZS5000.3 IS/OS
TD838,X-HF-110/SHF2 AS/NZS5000.1 0.6/1kV
B02,Tinned Copper Lug Half Moon
B03,Tinned Copper Lug Closed End
B04,Tinned Copper Lug Indent
B06,Half-Moon Bell Mouth
LK,Flexible R-E-110 110V Primary
W01,Cable Tie Nylon Self Locking
Z01,Bootlace Crimping Tool Square Crimp
BB,USE PL#403! BOAT OR MTW(105C/75C WET/DRY)OR1 FT-2 ROHS ABYC
BY,(UL) BC-5W2 BOAT CABLE 600 VOLTS 105C DRY 75C WET-ABYC-RoHS
W02,"Cable Tie, Stainless Steel"
X01,Self-adhesive mount
Y01,PVC Electrical Tape
RP,Rainbow Pack
X02,Screw mount
X03,Y Type Screw Mount
D11,EMC Cable Gland
F2,X-HF-110 LSZH Fire Coll AS/NZS5000.1 0.6/1kV
F3,X-HF-110 Fire LSZH Ind/Coll AS/NZS5000.1 0.6/1kV
TD897,"48V DC SELV COMMUNICATION/SECURITY POWER"
LJ,Insulation for SD and SF solar cable with 0.5mm RT
B08,Bi-Metallic Lug
B10,Shear Bolt Lug
F4,X-HF-110 LSZH SWA Fire Coll AS/NZS5000.3 450/750V
F5,X-HF-110 LSZH SWA Fire Ind/Coll AS/NZS5000.3 450/750V
X04,Bushing
B12,Circuit Breaker Lug
DL,"X-HF-110 0.9/1.5kV DC AS/NZS5000.1 ""FOR DC USE ONLY"""
Z02,Automatic Wire Stripper
Z03,Multi-Function Wire Stripper
Z04,Cable Stripper
RL,"X-90 0.9/1.5kV DC AS/NZS5000.1 ""FOR DC USE ONLY"""
G03,Heat Shrink Tube Medium Wall
A25,"Double Grip Ring, TPE Insulated Terminal"
A27,"Double Grip Fork, TPE Insulated Terminal"
J01,"Straight Plug, Round Pin"
J03,"Straight Extension Socket, Round Pin"
J05,"Outlet Socket, Round Pin"
J06,"Outlet Socket, Flat Pin"
J07,"Switched Outlet Socket, Round Pin"
J02,"Angle Male Plug, Round Pin"
J04,"Angle Female Extension Socket, Round Pin"
Z05,Crimper Pin Terminals
Z06,Crimper Non-Insulated
Z07,Wire Cutter
Z08,Lugs Crimper
Z09,Nylon Cable Tie Fastener
B17,Shear Bolt Link Connector
J08,"Switched Outlet Socket, Flat Pin"
J09,"Male Plug, Flat Pin"
J10,"Female Extension Socket, Flat Pin"
B16,Two Hole Shear Bolt Lug
F05,.
CC1,X-90/HFS-110-TP 0.6/1KV 90C AS/NZS5000.1 LSZH
